board,n_parts,used_area,waste_area,board_area,U
1,4,2915220.25,61579.75,2976800.0,0.9793134406073636
2,3,2885510.0,91290.0,2976800.0,0.9693328406342381
3,3,2850550.0,126250.0,2976800.0,0.9575886858371405
4,3,2792942.0,183858.0,2976800.0,0.9382363611932276
5,3,2858031.0,118769.0,2976800.0,0.9601017871539909
6,4,2900920.0,75880.0,2976800.0,0.9745095404461166
7,4,2897920.0,78880.0,2976800.0,0.9735017468422467
8,3,2868040.0,108760.0,2976800.0,0.9634641225477022
9,3,2817810.0,158990.0,2976800.0,0.9465902983069068
10,3,2808090.0,168710.0,2976800.0,0.9433250470303682
11,3,2834094.0,142706.0,2976800.0,0.9520606019887127
12,4,2807668.5,169131.5,2976800.0,0.9431834520290244
13,4,2858294.0,118506.0,2976800.0,0.9601901370599302
14,4,2827234.0,149566.0,2976800.0,0.9497561139478635
15,5,2864770.0,112030.0,2976800.0,0.962365627519484
16,5,2835350.0,141450.0,2976800.0,0.9524825315775329
17,4,2880192.0,96608.0,2976800.0,0.967546358505778
18,4,2854440.0,122360.0,2976800.0,0.9588954582101585
19,5,2821120.0,155680.0,2976800.0,0.9477022305831766
20,9,2776679.0,200121.0,2976800.0,0.9327731120666487
21,9,2710227.0,266573.0,2976800.0,0.9104498118785272
22,4,2831253.0,145547.0,2976800.0,0.9511062214458479
23,5,2833584.25,143215.75,2976800.0,0.9518893610588551
24,5,2776066.25,200733.75,2976800.0,0.9325672702230583
25,5,2882500.5,94299.5,2976800.0,0.9683218556839559
26,4,2863160.5,113639.5,2976800.0,0.9618249462510078
27,5,2885619.75,91180.25,2976800.0,0.9693697090835797
28,4,2762365.0,214435.0,2976800.0,0.927964592851384
29,5,2859787.25,117012.75,2976800.0,0.9606917663262564
30,6,2583463.5,393336.5,2976800.0,0.8678659970438054
31,4,2910208.0,66592.0,2976800.0,0.9776296694436979
32,4,2833898.75,142901.25,2976800.0,0.9519950114216609
33,6,2869071.75,107728.25,2976800.0,0.9638107195646332
34,5,2769372.0,207428.0,2976800.0,0.9303184627788229
35,6,2853750.0,123050.0,2976800.0,0.9586636656812685
36,4,2871872.0,104928.0,2976800.0,0.9647514109110454
37,7,2854006.0,122794.0,2976800.0,0.9587496640687987
38,4,2808698.0,168102.0,2976800.0,0.9435292932007525
39,5,2916432.0,60368.0,2976800.0,0.9797205052405268
40,6,2867584.0,109216.0,2976800.0,0.963310937919914
41,7,2825341.75,151458.25,2976800.0,0.9491204481322225
42,4,2759623.0,217177.0,2976800.0,0.9270434694974469
43,5,2811312.0,165488.0,2976800.0,0.9444074173609245
44,5,2885732.5,91067.5,2976800.0,0.9694075853265252
45,5,2792209.75,184590.25,2976800.0,0.937990375571083
46,6,2754495.75,222304.25,2976800.0,0.9253210662456329
47,4,2807050.25,169749.75,2976800.0,0.942975762563827
48,5,2833444.5,143355.5,2976800.0,0.9518424146734749
49,5,2793365.25,183434.75,2976800.0,0.9383785440741736
50,6,2821983.75,154816.25,2976800.0,0.9479923911582908
51,5,2775892.1,200907.8999999999,2976800.0,0.9325087678043537
52,7,2815340.5,161459.5,2976800.0,0.9457607162053211
53,6,2654040.0,322760.0,2976800.0,0.8915748454716474
54,8,2813527.0,163273.0,2976800.0,0.9451515049717818
55,5,2412931.25,563868.75,2976800.0,0.8105788934426229
56,8,2784107.75,192692.25,2976800.0,0.9352686609782317
57,5,2767054.75,209745.25,2976800.0,0.9295400262026337
58,6,2860499.0,116301.0,2976800.0,0.9609308653587745
59,5,2515674.25,461125.75,2976800.0,0.845093472856759
60,6,2858927.9,117872.1000000001,2976800.0,0.9604030838484278
61,6,2802664.0,174136.0,2976800.0,0.9415022843321688
62,6,2747661.0,229139.0,2976800.0,0.9230250604676162
63,6,2843832.6,132967.3999999999,2976800.0,0.9553321015855953
64,7,2839779.0,137021.0,2976800.0,0.9539703708680463
65,6,2814550.0,162250.0,2976800.0,0.9454951625907014
66,6,2733616.5,243183.5,2976800.0,0.9183070747110992
67,7,2670473.25,306326.75,2976800.0,0.8970952868852459
68,8,2714905.85,261894.1499999999,2976800.0,0.9120215835796829
69,6,2761258.5,215541.5,2976800.0,0.9275928849771566
70,7,2669405.75,307394.25,2976800.0,0.8967366803278689
71,8,2701799.0,275001.0,2976800.0,0.9076185837140553
72,5,2794606.0,182194.0,2976800.0,0.9387953507121741
73,9,2778586.25,198213.75,2976800.0,0.9334138168503091
74,9,2731690.0,245110.0,2976800.0,0.917659903251814
75,10,2769327.25,207472.75,2976800.0,0.9303034298575652
76,8,2693963.5,282836.5,2976800.0,0.9049863947863478
77,8,2756269.5,220530.5,2976800.0,0.925916924213921
78,7,2803880.5,172919.5,2976800.0,0.941910944638538
79,6,2665496.5,311303.5,2976800.0,0.895423441279226
80,7,2716093.5,260706.5,2976800.0,0.9124205522708949
81,8,2744977.5,231822.5,2976800.0,0.9221235890889545
82,5,2748159.5,228640.5,2976800.0,0.9231925221714593
83,7,2754950.0,221850.0,2976800.0,0.9254736629938188
84,8,2632974.5,343825.5,2976800.0,0.8844982867508734
85,9,2814878.25,161921.75,2976800.0,0.9456054320075249
86,7,2752888.0,223912.0,2976800.0,0.924780972856759
87,8,2770986.0,205814.0,2976800.0,0.9308606557377049
88,7,2700706.0,276094.0,2976800.0,0.9072514109110454
89,8,2792333.0,184467.0,2976800.0,0.938031779091642
