board,n_parts,used_area,waste_area,board_area,U
1,3,2893290.0,83510.0,2976800.0,0.9719463853802741
2,4,2814690.0,162110.0,2976800.0,0.945542192958882
3,3,2792440.0,184360.0,2976800.0,0.9380677237301801
4,6,2924380.0,52420.0,2976800.0,0.9823904864283795
5,5,2822050.0,154750.0,2976800.0,0.9480146466003763
6,3,2778070.0,198730.0,2976800.0,0.9332403923676431
7,6,2824735.0,152065.0,2976800.0,0.9489166218758398
8,4,2859786.0,117014.0,2976800.0,0.9606913464122547
9,3,2894596.0,82204.0,2976800.0,0.9723851115291589
10,3,2848164.0,128636.0,2976800.0,0.9567871539908627
11,4,2781738.0,195062.0,2976800.0,0.9344725880139747
12,4,2822234.0,154566.0,2976800.0,0.9480764579414136
13,6,2884970.0,91830.0,2976800.0,0.9691514377855415
14,3,2821560.0,155240.0,2976800.0,0.9478500403117441
15,3,2847582.0,129218.0,2976800.0,0.9565916420317119
16,7,2854482.0,122318.0,2976800.0,0.9589095673206127
17,4,2876574.0,100226.0,2976800.0,0.9663309594195109
18,3,2853525.0,123275.0,2976800.0,0.9585880811609783
19,8,2841764.0,135036.0,2976800.0,0.9546371943026069
20,5,2842460.0,134340.0,2976800.0,0.9548710024187046
21,5,2750416.0,226384.0,2976800.0,0.9239505509271702
22,6,2756090.0,220710.0,2976800.0,0.9258566245632894
23,5,2752446.0,224354.0,2976800.0,0.9246324912657887
24,5,2751966.0,224834.0,2976800.0,0.9244712442891696
25,5,2785154.0,191646.0,2976800.0,0.9356201289975813
26,5,2808879.0,167921.0,2976800.0,0.943590096748186
27,4,2782620.0,194180.0,2976800.0,0.9347688793335125
28,5,2876164.0,100636.0,2976800.0,0.966193227626982
29,7,2870709.0,106091.0,2976800.0,0.9643607229239451
30,5,2854084.0,122716.0,2976800.0,0.9587758667024994
31,6,2838075.5,138724.5,2976800.0,0.9533981120666487
32,5,2834518.0,142282.0,2976800.0,0.9522030368180596
33,6,2856386.0,120414.0,2976800.0,0.9595491803278688
34,5,2823735.0,153065.0,2976800.0,0.9485806906745499
35,6,2756354.0,220446.0,2976800.0,0.92594531040043
36,6,2881520.0,95280.0,2976800.0,0.9679924751410911
37,6,2754018.0,222782.0,2976800.0,0.9251605751142166
38,8,2761404.0,215396.0,2976800.0,0.9276417629669443
39,7,2832909.0,143891.0,2976800.0,0.9516625235151841
40,7,2895330.0,81470.0,2976800.0,0.9726316850309057
41,9,2865238.0,111562.0,2976800.0,0.9625228433216877
42,9,2808935.0,167865.0,2976800.0,0.9436089088954582
43,4,2859992.0,116808.0,2976800.0,0.9607605482397205
44,6,2844768.0,132032.0,2976800.0,0.9556463316312819
45,7,2902855.0,73945.0,2976800.0,0.9751595673206127
46,6,2850370.0,126430.0,2976800.0,0.9575282182209084
47,8,2845839.0,130961.0,2976800.0,0.9560061139478635
48,6,2780274.0,196526.0,2976800.0,0.9339807847352862
49,8,2801297.0,175503.0,2976800.0,0.9410430663800053
50,5,2808860.0,167940.0,2976800.0,0.9435837140553615
51,7,2826439.0,150361.0,2976800.0,0.9494890486428379
52,6,2872273.0,104527.0,2976800.0,0.9648861193227627
53,9,2858385.0,118415.0,2976800.0,0.9602207067992475
54,4,2841204.0,135596.0,2976800.0,0.9544490728298844
55,5,2855248.0,121552.0,2976800.0,0.9591668906208008
56,5,2800100.0,176700.0,2976800.0,0.9406409567320613
57,7,2918190.5,58609.5,2976800.0,0.9803112402579952
58,13,2800238.5,176561.5,2976800.0,0.94068748320344
59,8,2865639.0,111161.0,2976800.0,0.962657551733405
60,7,2810991.0,165809.0,2976800.0,0.9442995834453104
61,5,2776250.0,200550.0,2976800.0,0.9326289975812954
62,7,2824599.0,152201.0,2976800.0,0.9488709352324644
63,7,2819256.0,157544.0,2976800.0,0.9470760548239721
64,4,2815215.0,161585.0,2976800.0,0.9457185568395593
65,6,2815962.0,160838.0,2976800.0,0.9459694974469228
66,8,2852410.0,124390.0,2976800.0,0.9582135178715399
67,8,2873457.0,103343.0,2976800.0,0.9652838618650901
68,7,2837517.0,139283.0,2976800.0,0.9532104944907283
69,4,2802217.0,174583.0,2976800.0,0.9413521230851921
70,8,2838269.0,138531.0,2976800.0,0.9534631147540984
71,7,2807662.0,169138.0,2976800.0,0.9431812684762161
72,7,2842549.0,134251.0,2976800.0,0.9549009002956195
73,6,2846132.5,130667.5,2976800.0,0.956104709755442
74,7,2786029.0,190771.0,2976800.0,0.93591406879871
75,9,2763569.0,213231.0,2976800.0,0.9283690540177372
76,8,2824226.0,152574.0,2976800.0,0.9487456328943832
77,8,2820406.0,156394.0,2976800.0,0.9474623757054556
78,7,2811690.0,165110.0,2976800.0,0.944534399355012
79,9,2814110.0,162690.0,2976800.0,0.9453473528621338
80,7,2908229.0,68571.0,2976800.0,0.9769648615963451
81,9,2760237.0,216563.0,2976800.0,0.927249731255039
82,3,2821039.0,155761.0,2976800.0,0.9476750201558721
83,7,2873632.5,103167.5,2976800.0,0.9653428177909165
84,9,2771320.0,205480.0,2976800.0,0.9309728567589358
